school,sex,age,address,famsize,Pstatus,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,averageG,Pedu
GP,F,0.33333333333333304,U,GT3,T,at_home,other,course,father,1,2,0,no,yes,no,no,no,yes,yes,no,5,3,3,1,1,3,0.0625,9,11,11,0.30000000000000004,1.0
GP,F,0.0,U,LE3,T,at_home,other,other,mother,1,2,0,yes,no,no,no,yes,yes,yes,no,4,3,2,2,3,3,0.1875,12,13,12,0.6000000000000001,1.0
GP,F,0.0,U,GT3,T,health,services,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,3,2,2,1,1,5,0.0,14,14,14,0.8500000000000003,3.0
GP,F,0.16666666666666652,U,GT3,T,other,other,home,father,1,2,0,no,yes,no,no,yes,yes,no,no,4,3,2,1,2,5,0.0,11,13,13,0.6000000000000001,3.0
GP,M,0.16666666666666652,U,LE3,T,services,other,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,2,1,2,5,0.1875,12,12,13,0.6000000000000001,3.5
GP,M,0.16666666666666652,U,LE3,T,other,other,home,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,4,1,1,3,0.0,13,12,13,0.6499999999999999,2.0
GP,F,0.33333333333333304,U,GT3,A,other,teacher,home,mother,2,2,0,yes,yes,no,no,yes,yes,no,no,4,1,4,1,1,1,0.0625,10,13,13,0.55,4.0
GP,M,0.0,U,GT3,T,other,other,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,5,1,1,1,5,0.0,12,12,13,0.6000000000000001,3.5
GP,F,0.0,U,GT3,T,teacher,health,reputation,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,3,3,3,1,2,2,0.0625,14,14,14,0.8500000000000003,4.0
GP,F,0.0,U,GT3,T,services,other,reputation,father,3,3,0,no,yes,no,yes,yes,yes,yes,no,5,2,2,1,1,4,0.0,10,12,13,0.5,1.5
GP,M,0.0,U,LE3,T,health,services,course,father,1,1,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,3,5,0.0,12,13,12,0.6000000000000001,4.0
GP,M,0.0,U,GT3,T,teacher,other,course,mother,2,2,0,no,yes,no,no,yes,yes,yes,no,5,4,3,1,2,3,0.0,12,12,13,0.6000000000000001,3.5
GP,M,0.0,U,GT3,A,other,other,home,other,1,3,0,no,yes,no,no,yes,yes,yes,yes,4,5,2,1,1,3,0.0,14,14,15,0.9000000000000001,2.0
GP,F,0.16666666666666652,U,GT3,T,services,services,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,3,2,3,1,2,2,0.3125,13,13,14,0.7500000000000002,4.0
GP,F,0.16666666666666652,U,GT3,T,other,other,reputation,mother,3,2,0,yes,yes,no,yes,yes,yes,no,no,5,3,2,1,1,4,0.0625,13,14,14,0.8,3.0
GP,M,0.16666666666666652,U,LE3,T,health,other,home,father,1,1,0,no,no,no,yes,yes,yes,yes,no,3,1,3,1,3,5,0.1875,12,12,12,0.55,3.5
